Địa phương,Năm,Số thư viện (Đơn vị),Số sách trong thư viện (Nghìn bản)
geoId-BKN,2009,8.0,59.0
geoId-BKN,2010,8.0,55.0
geoId-BKN,2012,8.0,118.0
geoId-BKN,2013,13.0,101.0
geoId-BKN,2014,9.0,107.0
geoId-BKN,2015,10.0,216.7
geoId-BKN,2016,9.0,142.4
geoId-BKN,2017,8.0,146.8
geoId-BNH,2004,8.0,145.0
geoId-BNH,2005,8.0,151.0
geoId-BNH,2006,8.0,165.0
geoId-BNH,2007,8.0,167.0
geoId-BNH,2008,8.0,167.9
geoId-BNH,2009,8.0,168.5
geoId-BNH,2010,8.0,169.0
geoId-BNH,2012,93.0,152.0
geoId-BNH,2013,93.0,135.0
geoId-BNH,2014,8.0,
geoId-BNH,2015,8.0,134.8
geoId-BNH,2016,8.0,170.6
geoId-BNH,2017,8.0,172.0
geoId-SCC,2004,162.0,4596.1
geoId-SCC,2005,162.0,4956.7
geoId-SCC,2006,161.0,5209.0
geoId-SCC,2007,160.0,5909.0
geoId-SCC,2008,168.0,6354.3
geoId-SCC,2009,172.0,6285.8
geoId-SCC,2010,172.0,6879.0
geoId-SCC,2012,558.0,4915.0
geoId-SCC,2013,540.0,4035.0
geoId-SCC,2014,183.0,3935.0
geoId-SCC,2015,174.0,5514.9
geoId-SCC,2016,176.0,5365.7
geoId-SCC,2017,176.0,5702.8
geoId-BTE,2004,9.0,161.0
geoId-BTE,2005,9.0,175.0
geoId-BTE,2006,9.0,130.6
geoId-BTE,2007,9.0,138.0
geoId-BTE,2008,9.0,210.0
geoId-BTE,2009,9.0,218.0
geoId-BTE,2010,9.0,228.0
geoId-BTE,2012,10.0,219.0
geoId-BTE,2013,12.0,200.0
geoId-BTE,2014,10.0,
geoId-BTE,2015,10.0,262.8
geoId-BTE,2016,9.0,190.1
geoId-BTE,2017,10.0,270.6
geoId-CBG,2004,13.0,99.6
geoId-CBG,2005,13.0,127.0
geoId-CBG,2006,13.0,85.0
geoId-CBG,2007,13.0,90.9
geoId-CBG,2008,13.0,94.0
geoId-CBG,2009,13.0,111.4
geoId-CBG,2010,13.0,131.0
geoId-CBG,2012,15.0,
geoId-CBG,2013,18.0,58.0
geoId-CBG,2014,13.0,654.0
geoId-CBG,2015,13.0,285.4
geoId-CBG,2016,13.0,292.9
geoId-CBG,2017,13.0,308.8
geoId-CMU,2004,8.0,393.9
geoId-CMU,2005,8.0,406.0
geoId-CMU,2006,9.0,408.6
geoId-CMU,2007,11.0,310.0
geoId-CMU,2008,10.0,304.0
geoId-CMU,2009,10.0,310.4
geoId-CMU,2010,10.0,277.0
geoId-CMU,2012,69.0,288.0
geoId-CMU,2013,66.0,232.0
geoId-CMU,2014,10.0,
geoId-CMU,2015,10.0,217.7
geoId-CMU,2016,10.0,271.4
geoId-CMU,2017,10.0,280.1
geoId-VNM,2004,669.0,17092.7
geoId-VNM,2005,674.0,18051.7
geoId-VNM,2006,678.0,18298.7
geoId-VNM,2007,685.0,19363.5
geoId-VNM,2008,706.0,20169.3
geoId-VNM,2009,713.0,20604.3
geoId-VNM,2010,716.0,21188.0
geoId-VNM,2012,2584.0,18095.0
geoId-VNM,2013,2612.0,18128.0
geoId-VNM,2014,731.0,18932.0
geoId-VNM,2015,724.0,23648.9
geoId-VNM,2016,727.0,25843.5
geoId-VNM,2017,727.0,27303.0
geoId-CTO,2004,9.0,306.0
geoId-CTO,2005,9.0,334.0
geoId-CTO,2006,9.0,395.0
geoId-CTO,2007,9.0,405.0
geoId-CTO,2008,9.0,422.0
geoId-CTO,2009,9.0,443.0
geoId-CTO,2010,9.0,443.0
geoId-CTO,2012,39.0,166.0
geoId-CTO,2013,42.0,313.0
geoId-CTO,2014,10.0,341.0
geoId-CTO,2015,10.0,389.8
geoId-CTO,2016,10.0,439.3
geoId-CTO,2017,10.0,444.5
geoId-GLI,2004,14.0,180.0
geoId-GLI,2005,15.0,252.0
geoId-GLI,2006,15.0,261.0
geoId-GLI,2007,16.0,301.0
geoId-GLI,2008,16.0,339.0
geoId-GLI,2009,16.0,372.0
geoId-GLI,2010,16.0,403.0
geoId-GLI,2012,33.0,168.0
geoId-GLI,2013,30.0,496.0
geoId-GLI,2014,16.0,518.0
geoId-GLI,2015,16.0,541.1
geoId-GLI,2016,16.0,601.8
geoId-GLI,2017,16.0,608.0
geoId-HGG,2004,12.0,91.3
geoId-HGG,2005,12.0,151.8
geoId-HGG,2006,12.0,120.1
geoId-HGG,2007,12.0,134.6
geoId-HGG,2008,12.0,134.6
geoId-HGG,2009,12.0,165.4
geoId-HGG,2010,12.0,171.0
geoId-HGG,2012,22.0,195.0
geoId-HGG,2013,23.0,204.0
geoId-HGG,2014,12.0,214.0
geoId-HGG,2015,12.0,219.1
geoId-HGG,2016,12.0,264.2
geoId-HGG,2017,12.0,266.9
geoId-HNM,2004,7.0,115.4
geoId-HNM,2005,7.0,126.0
geoId-HNM,2006,7.0,127.6
geoId-HNM,2007,7.0,124.8
geoId-HNM,2008,7.0,231.3
geoId-HNM,2009,7.0,139.9
geoId-HNM,2010,7.0,136.0
geoId-HNM,2012,19.0,133.0
geoId-HNM,2013,19.0,142.0
geoId-HNM,2014,7.0,146.0
geoId-HNM,2015,7.0,143.6
geoId-HNM,2016,7.0,166.2
geoId-HNM,2017,7.0,155.9
geoId-HNI,2004,11.0,386.0
geoId-HNI,2005,13.0,420.0
geoId-HNI,2006,13.0,430.0
geoId-HNI,2007,15.0,445.0
geoId-HNI,2008,32.0,557.0
geoId-HNI,2009,32.0,565.0
geoId-HNI,2010,30.0,579.0
geoId-HNI,2012,142.0,845.0
geoId-HNI,2013,170.0,845.0
geoId-HNI,2014,30.0,2850.0
geoId-HNI,2015,31.0,3401.8
geoId-HNI,2016,31.0,3514.7
geoId-HNI,2017,31.0,3648.4
geoId-HNI,2004,15.0,269.0
geoId-HNI,2005,15.0,263.0
geoId-HNI,2006,15.0,273.6
geoId-HNI,2007,15.0,181.6
geoId-HNI,2008,,
geoId-HNI,2009,,
geoId-HNI,2010,,
geoId-HNI,2012,,
geoId-HNI,2013,,
geoId-HNI,2014,,
geoId-HNI,2015,,
geoId-HNI,2016,,
geoId-HNI,2017,,
geoId-HTH,2004,11.0,200.0
geoId-HTH,2005,11.0,200.0
geoId-HTH,2006,10.0,200.0
geoId-HTH,2007,10.0,201.0
geoId-HTH,2008,11.0,290.0
geoId-HTH,2009,11.0,300.0
geoId-HTH,2010,11.0,312.0
geoId-HTH,2012,13.0,295.0
geoId-HTH,2013,15.0,383.0
geoId-HTH,2014,13.0,321.0
geoId-HTH,2015,13.0,326.9
geoId-HTH,2016,14.0,387.1
geoId-HTH,2017,14.0,411.1
geoId-HBH,2004,12.0,150.0
geoId-HBH,2005,11.0,106.0
geoId-HBH,2006,11.0,120.0
geoId-HBH,2007,11.0,145.0
geoId-HBH,2008,11.0,150.0
geoId-HBH,2009,12.0,172.1
geoId-HBH,2010,12.0,138.0
geoId-HBH,2012,36.0,135.0
geoId-HBH,2013,40.0,110.0
geoId-HBH,2014,11.0,129.0
geoId-HBH,2015,11.0,163.8
geoId-HBH,2016,12.0,168.1
geoId-HBH,2017,12.0,219.3
geoId-HYN,2004,11.0,102.0
geoId-HYN,2005,11.0,82.0
geoId-HYN,2006,11.0,92.8
geoId-HYN,2007,11.0,136.0
geoId-HYN,2008,11.0,147.0
geoId-HYN,2009,11.0,148.0
geoId-HYN,2010,11.0,149.0
geoId-HYN,2012,16.0,172.0
geoId-HYN,2013,16.0,143.0
geoId-HYN,2014,11.0,150.0
geoId-HYN,2015,11.0,192.3
geoId-HYN,2016,11.0,195.4
geoId-HYN,2017,11.0,249.6
geoId-HDG,2004,14.0,120.0
geoId-HDG,2005,14.0,118.0
geoId-HDG,2006,14.0,222.0
geoId-HDG,2007,14.0,192.0
geoId-HDG,2008,14.0,156.0
geoId-HDG,2009,14.0,168.0
geoId-HDG,2010,14.0,171.0
geoId-HDG,2012,60.0,347.0
geoId-HDG,2013,69.0,315.0
geoId-HDG,2014,13.0,334.0
geoId-HDG,2015,13.0,15.4
geoId-HDG,2016,13.0,453.9
geoId-HDG,2017,13.0,482.0
geoId-HPG,2004,16.0,314.2
geoId-HPG,2005,16.0,329.0
geoId-HPG,2006,16.0,333.9
geoId-HPG,2007,16.0,351.3
geoId-HPG,2008,16.0,365.5
geoId-HPG,2009,16.0,433.1
geoId-HPG,2010,16.0,459.0
geoId-HPG,2012,48.0,484.0
geoId-HPG,2013,47.0,383.0
geoId-HPG,2014,13.0,392.0
geoId-HPG,2015,13.0,391.0
geoId-HPG,2016,13.0,476.1
geoId-HPG,2017,13.0,484.9
geoId-HGG,2004,7.0,140.3
geoId-HGG,2005,8.0,162.0
geoId-HGG,2006,8.0,172.3
geoId-HGG,2007,8.0,193.4
geoId-HGG,2008,8.0,209.6
geoId-HGG,2009,8.0,244.1
geoId-HGG,2010,8.0,251.0
geoId-HGG,2012,9.0,236.0
geoId-HGG,2013,11.0,211.0
geoId-HGG,2014,8.0,189.0
geoId-HGG,2015,7.0,211.2
geoId-HGG,2016,9.0,261.9
geoId-HGG,2017,9.0,274.4
geoId-KHA,2004,9.0,337.6
geoId-KHA,2005,9.0,356.6
geoId-KHA,2006,9.0,380.7
geoId-KHA,2007,9.0,407.2
geoId-KHA,2008,9.0,434.4
geoId-KHA,2009,9.0,435.0
geoId-KHA,2010,9.0,466.0
geoId-KHA,2012,14.0,518.0
geoId-KHA,2013,14.0,490.0
geoId-KHA,2014,10.0,550.0
geoId-KHA,2015,10.0,541.1
geoId-KHA,2016,10.0,616.3
geoId-KHA,2017,10.0,614.3
geoId-KGG,2004,15.0,130.0
geoId-KGG,2005,14.0,300.0
geoId-KGG,2006,14.0,207.0
geoId-KGG,2007,14.0,182.0
geoId-KGG,2008,15.0,197.0
geoId-KGG,2009,13.0,185.0
geoId-KGG,2010,13.0,184.0
geoId-KGG,2012,14.0,167.0
geoId-KGG,2013,17.0,171.0
geoId-KGG,2014,14.0,198.0
geoId-KGG,2015,14.0,280.5
geoId-KGG,2016,14.0,276.1
geoId-KGG,2017,14.0,282.6
geoId-KTM,2004,8.0,73.5
geoId-KTM,2005,8.0,73.5
geoId-KTM,2006,8.0,81.5
geoId-KTM,2007,8.0,72.0
geoId-KTM,2008,8.0,82.0
geoId-KTM,2009,8.0,100.0
geoId-KTM,2010,8.0,111.0
geoId-KTM,2012,60.0,141.0
geoId-KTM,2013,60.0,159.0
geoId-KTM,2014,8.0,174.0
geoId-KTM,2015,8.0,175.8
geoId-KTM,2016,8.0,249.3
geoId-KTM,2017,8.0,295.3
geoId-LCU,2004,5.0,57.7
geoId-LCU,2005,6.0,58.0
geoId-LCU,2006,7.0,38.9
geoId-LCU,2007,7.0,59.5
geoId-LCU,2008,7.0,56.7
geoId-LCU,2009,8.0,58.3
geoId-LCU,2010,9.0,66.0
geoId-LCU,2012,10.0,
geoId-LCU,2013,12.0,88.0
geoId-LCU,2014,6.0,95.0
geoId-LCU,2015,7.0,93.5
geoId-LCU,2016,7.0,119.5
geoId-LCU,2017,7.0,118.7
geoId-LAN,2004,13.0,182.4
geoId-LAN,2005,13.0,195.0
geoId-LAN,2006,12.0,202.0
geoId-LAN,2007,12.0,216.0
geoId-LAN,2008,13.0,229.5
geoId-LAN,2009,13.0,249.0
geoId-LAN,2010,13.0,253.0
geoId-LAN,2012,14.0,260.0
geoId-LAN,2013,14.0,287.0
geoId-LAN,2014,14.0,301.0
geoId-LAN,2015,14.0,319.9
geoId-LAN,2016,14.0,384.5
geoId-LAN,2017,14.0,388.8
geoId-LCI,2004,10.0,58.8
geoId-LCI,2005,9.0,126.0
geoId-LCI,2006,9.0,92.8
geoId-LCI,2007,10.0,80.1
geoId-LCI,2008,10.0,86.0
geoId-LCI,2009,10.0,170.7
geoId-LCI,2010,10.0,182.0
geoId-LCI,2012,10.0,216.0
geoId-LCI,2013,10.0,229.0
geoId-LCI,2014,10.0,203.0
geoId-LCI,2015,10.0,233.2
geoId-LCI,2016,10.0,276.4
geoId-LCI,2017,10.0,289.1
geoId-LDG,2004,11.0,264.8
geoId-LDG,2005,11.0,292.6
geoId-LDG,2006,11.0,301.2
geoId-LDG,2007,11.0,304.4
geoId-LDG,2008,11.0,334.4
geoId-LDG,2009,12.0,395.6
geoId-LDG,2010,12.0,370.0
geoId-LDG,2012,13.0,373.0
geoId-LDG,2013,14.0,398.0
geoId-LDG,2014,12.0,387.0
geoId-LDG,2015,12.0,397.0
geoId-LDG,2016,12.0,406.6
geoId-LDG,2017,12.0,442.9
geoId-LSN,2004,12.0,128.0
geoId-LSN,2005,12.0,181.0
geoId-LSN,2006,12.0,198.0
geoId-LSN,2007,12.0,212.0
geoId-LSN,2008,12.0,242.3
geoId-LSN,2009,12.0,253.6
geoId-LSN,2010,12.0,253.0
geoId-LSN,2012,22.0,262.0
geoId-LSN,2013,18.0,212.0
geoId-LSN,2014,12.0,192.0
geoId-LSN,2015,12.0,266.4
geoId-LSN,2016,12.0,308.6
geoId-LSN,2017,12.0,315.7
geoId-NDH,2004,11.0,220.0
geoId-NDH,2005,11.0,205.0
geoId-NDH,2006,11.0,209.6
geoId-NDH,2007,11.0,214.1
geoId-NDH,2008,11.0,218.7
geoId-NDH,2009,11.0,235.3
geoId-NDH,2010,11.0,238.0
geoId-NDH,2012,11.0,323.0
geoId-NDH,2013,12.0,211.0
geoId-NDH,2014,11.0,191.0
geoId-NDH,2015,11.0,215.1
geoId-NDH,2016,11.0,211.1
geoId-NDH,2017,11.0,221.2
geoId-NAN,2004,20.0,1300.0
geoId-NAN,2005,20.0,1500.0
geoId-NAN,2006,20.0,1575.0
geoId-NAN,2007,20.0,1850.0
geoId-NAN,2008,23.0,2000.0
geoId-NAN,2009,23.0,2125.0
geoId-NAN,2010,23.0,2375.0
geoId-NAN,2012,21.0,530.0
geoId-NAN,2013,25.0,474.0
geoId-NAN,2014,20.0,250.0
geoId-NAN,2015,21.0,262.6
geoId-NAN,2016,21.0,404.2
geoId-NAN,2017,22.0,522.2
geoId-NTN,2004,4.0,160.0
geoId-NTN,2005,4.0,166.0
geoId-NTN,2006,4.0,241.0
geoId-NTN,2007,4.0,243.0
geoId-NTN,2008,4.0,256.0
geoId-NTN,2009,7.0,269.0
geoId-NTN,2010,7.0,269.0
geoId-NTN,2012,7.0,150.0
geoId-NTN,2013,7.0,122.0
geoId-NTN,2014,8.0,175.0
geoId-NTN,2015,8.0,215.1
geoId-NTN,2016,8.0,230.6
geoId-NTN,2017,8.0,266.5
geoId-NBH,2004,8.0,132.0
geoId-NBH,2005,8.0,133.0
geoId-NBH,2006,8.0,200.0
geoId-NBH,2007,8.0,208.3
geoId-NBH,2008,8.0,216.3
geoId-NBH,2009,9.0,222.5
geoId-NBH,2010,9.0,249.0
geoId-NBH,2012,20.0,71.0
geoId-NBH,2013,24.0,153.0
geoId-NBH,2014,8.0,160.0
geoId-NBH,2015,8.0,148.6
geoId-NBH,2016,8.0,258.8
geoId-NBH,2017,8.0,271.7
geoId-PTO,2004,13.0,131.0
geoId-PTO,2005,13.0,164.0
geoId-PTO,2006,13.0,170.0
geoId-PTO,2007,13.0,169.0
geoId-PTO,2008,15.0,171.2
geoId-PTO,2009,15.0,171.3
geoId-PTO,2010,14.0,339.0
geoId-PTO,2012,291.0,412.0
geoId-PTO,2013,285.0,373.0
geoId-PTO,2014,14.0,395.0
geoId-PTO,2015,14.0,434.0
geoId-PTO,2016,14.0,481.6
geoId-PTO,2017,14.0,508.4
geoId-PYN,2004,7.0,303.9
geoId-PYN,2005,6.0,334.8
geoId-PYN,2006,7.0,339.9
geoId-PYN,2007,7.0,340.1
geoId-PYN,2008,9.0,344.2
geoId-PYN,2009,9.0,342.1
geoId-PYN,2010,9.0,367.0
geoId-PYN,2012,12.0,114.0
geoId-PYN,2013,14.0,376.0
geoId-PYN,2014,9.0,390.0
geoId-PYN,2015,9.0,392.0
geoId-PYN,2016,9.0,489.0
geoId-PYN,2017,9.0,502.4
geoId-QNM,2004,17.0,270.9
geoId-QNM,2005,17.0,269.0
geoId-QNM,2006,15.0,272.5
geoId-QNM,2007,15.0,281.2
geoId-QNM,2008,15.0,299.4
geoId-QNM,2009,16.0,201.9
geoId-QNM,2010,17.0,318.0
geoId-QNM,2012,25.0,128.0
geoId-QNM,2013,21.0,110.0
geoId-QNM,2014,18.0,335.0
geoId-QNM,2015,18.0,363.6
geoId-QNM,2016,18.0,408.3
geoId-QNM,2017,18.0,419.8
geoId-QNI,2004,14.0,180.8
geoId-QNI,2005,14.0,180.9
geoId-QNI,2006,15.0,182.9
geoId-QNI,2007,14.0,184.0
geoId-QNI,2008,14.0,188.4
geoId-QNI,2009,14.0,188.9
geoId-QNI,2010,14.0,190.0
geoId-QNI,2012,127.0,273.0
geoId-QNI,2013,120.0,262.0
geoId-QNI,2014,14.0,299.0
geoId-QNI,2015,14.0,324.5
geoId-QNI,2016,14.0,341.8
geoId-QNI,2017,14.0,322.0
geoId-QBH,2004,9.0,181.1
geoId-QBH,2005,9.0,181.0
geoId-QBH,2006,9.0,225.0
geoId-QBH,2007,9.0,177.0
geoId-QBH,2008,9.0,228.0
geoId-QBH,2009,9.0,190.0
geoId-QBH,2010,8.0,98.0
geoId-QBH,2012,8.0,72.0
geoId-QBH,2013,11.0,48.0
geoId-QBH,2014,9.0,156.0
geoId-QBH,2015,9.0,143.3
geoId-QBH,2016,9.0,155.4
geoId-QBH,2017,9.0,184.5
geoId-QNH,2004,14.0,274.2
geoId-QNH,2005,14.0,264.0
geoId-QNH,2006,14.0,266.0
geoId-QNH,2007,14.0,330.7
geoId-QNH,2008,14.0,257.6
geoId-QNH,2009,14.0,257.6
geoId-QNH,2010,15.0,192.0
geoId-QNH,2012,15.0,660.0
geoId-QNH,2013,14.0,660.0
geoId-QNH,2014,14.0,411.0
geoId-QNH,2015,14.0,843.7
geoId-QNH,2016,14.0,761.3
geoId-QNH,2017,14.0,726.6
geoId-QTI,2004,9.0,111.5
geoId-QTI,2005,10.0,120.5
geoId-QTI,2006,10.0,85.1
geoId-QTI,2007,10.0,88.4
geoId-QTI,2008,10.0,91.6
geoId-QTI,2009,10.0,93.3
geoId-QTI,2010,10.0,271.0
geoId-QTI,2012,60.0,168.0
geoId-QTI,2013,60.0,90.0
geoId-QTI,2014,10.0,101.0
geoId-QTI,2015,9.0,261.1
geoId-QTI,2016,10.0,188.9
geoId-QTI,2017,9.0,135.3
geoId-STG,2004,9.0,190.3
geoId-STG,2005,9.0,195.0
geoId-STG,2006,9.0,209.6
geoId-STG,2007,9.0,211.0
geoId-STG,2008,10.0,260.0
geoId-STG,2009,10.0,272.7
geoId-STG,2010,10.0,273.0
geoId-STG,2012,31.0,266.0
geoId-STG,2013,32.0,243.0
geoId-STG,2014,12.0,263.0
geoId-STG,2015,12.0,335.6
geoId-STG,2016,12.0,413.6
geoId-STG,2017,12.0,457.4
geoId-SLA,2004,11.0,88.9
geoId-SLA,2005,11.0,105.0
geoId-SLA,2006,12.0,132.4
geoId-SLA,2007,12.0,162.6
geoId-SLA,2008,12.0,165.5
geoId-SLA,2009,12.0,203.8
geoId-SLA,2010,12.0,224.0
geoId-SLA,2012,11.0,266.0
geoId-SLA,2013,12.0,199.0
geoId-SLA,2014,12.0,182.0
geoId-SLA,2015,12.0,100.9
geoId-SLA,2016,12.0,255.2
geoId-SLA,2017,12.0,280.7
geoId-THA,2004,28.0,813.0
geoId-THA,2005,28.0,843.0
geoId-THA,2006,28.0,858.0
geoId-THA,2007,28.0,1208.0
geoId-THA,2008,28.0,1255.0
geoId-THA,2009,28.0,1115.0
geoId-THA,2010,28.0,1122.0
geoId-THA,2012,164.0,1375.0
geoId-THA,2013,148.0,645.0
geoId-THA,2014,28.0,785.0
geoId-THA,2015,28.0,1070.0
geoId-THA,2016,28.0,746.0
geoId-THA,2017,28.0,810.0
geoId-TNN,2004,10.0,85.0
geoId-TNN,2005,9.0,120.0
geoId-TNN,2006,9.0,205.0
geoId-TNN,2007,9.0,220.0
geoId-TNN,2008,10.0,196.3
geoId-TNN,2009,10.0,198.5
geoId-TNN,2010,10.0,200.0
geoId-TNN,2012,10.0,157.0
geoId-TNN,2013,13.0,140.0
geoId-TNN,2014,10.0,185.0
geoId-TNN,2015,10.0,206.7
geoId-TNN,2016,10.0,227.0
geoId-TNN,2017,10.0,227.5
geoId-TBH,2004,10.0,278.0
geoId-TBH,2005,10.0,275.6
geoId-TBH,2006,10.0,243.9
geoId-TBH,2007,9.0,179.6
geoId-TBH,2008,9.0,163.0
geoId-TBH,2009,9.0,173.2
geoId-TBH,2010,9.0,189.0
geoId-TBH,2012,47.0,304.0
geoId-TBH,2013,51.0,293.0
geoId-TBH,2014,9.0,255.0
geoId-TBH,2015,9.0,299.9
geoId-TBH,2016,9.0,320.8
geoId-TBH,2017,9.0,335.3
,2004,10.0,186.2
,2005,10.0,206.8
,2006,10.0,218.0
,2007,10.0,228.2
,2008,10.0,216.2
,2009,10.0,231.0
,2010,10.0,246.0
,2012,10.0,302.0
,2013,10.0,320.0
,2014,9.0,324.0
,2015,9.0,252.7
,2016,9.0,256.3
,2017,9.0,290.2
geoId-TGG,2004,9.0,237.9
geoId-TGG,2005,9.0,287.0
geoId-TGG,2006,9.0,290.0
geoId-TGG,2007,9.0,308.0
geoId-TGG,2008,9.0,330.0
geoId-TGG,2009,9.0,346.4
geoId-TGG,2010,9.0,361.0
geoId-TGG,2012,13.0,377.0
geoId-TGG,2013,20.0,358.0
geoId-TGG,2014,9.0,403.0
geoId-TGG,2015,9.0,381.6
geoId-TGG,2016,9.0,464.5
geoId-TGG,2017,9.0,458.8
geoId-HCM,2004,25.0,2422.0
geoId-HCM,2005,25.0,2327.0
geoId-HCM,2006,26.0,2259.0
geoId-HCM,2007,26.0,2402.0
geoId-HCM,2008,26.0,2573.0
geoId-HCM,2009,26.0,2420.0
geoId-HCM,2010,26.0,2398.0
geoId-HCM,2012,84.0,958.0
geoId-HCM,2013,80.0,843.0
geoId-HCM,2014,25.0,874.0
geoId-HCM,2015,25.0,822.0
geoId-HCM,2016,25.0,861.9
geoId-HCM,2017,25.0,1010.0
geoId-NT,2004,140.0,1878.7
geoId-NT,2005,138.0,2181.2
geoId-NT,2006,142.0,2003.9
geoId-NT,2007,143.0,2155.2
geoId-NT,2008,147.0,2185.6
geoId-NT,2009,149.0,2559.3
geoId-NT,2010,151.0,2795.0
geoId-NT,2012,538.0,2349.0
geoId-NT,2013,542.0,2765.0
geoId-NT,2014,147.0,3109.0
geoId-NT,2015,150.0,3225.1
geoId-NT,2016,149.0,3715.7
geoId-NT,2017,148.0,3901.1
geoId-TVH,2004,8.0,160.4
geoId-TVH,2005,8.0,182.0
geoId-TVH,2006,8.0,113.7
geoId-TVH,2007,8.0,153.5
geoId-TVH,2008,8.0,141.0
geoId-TVH,2009,8.0,124.1
geoId-TVH,2010,8.0,138.0
geoId-TVH,2012,37.0,216.0
geoId-TVH,2013,32.0,198.0
geoId-TVH,2014,8.0,203.0
geoId-TVH,2015,8.0,155.8
geoId-TVH,2016,8.0,315.5
geoId-TVH,2017,8.0,328.0
geoId-TQG,2004,6.0,232.8
geoId-TQG,2005,6.0,243.0
geoId-TQG,2006,6.0,249.5
geoId-TQG,2007,6.0,259.5
geoId-TQG,2008,6.0,269.7
geoId-TQG,2009,6.0,279.4
geoId-TQG,2010,6.0,287.0
geoId-TQG,2012,14.0,306.0
geoId-TQG,2013,7.0,319.0
geoId-TQG,2014,6.0,307.0
