Năm,"Tỉnh, thành phố",1,2,3,4,5,6,7,8,9,11,12
2002,,,,,,,,,,,,
2002,,,,,,,,,,,,
2003,,,,,,,,,,,,
2003,,,,,,,,,,,,
2004,geoId-SLA,12.0,7.0,48.0,279.0,187.0,153.0,209.0,295.0,142.0,47.0,
2004,,,,,,,,,,,,
2004,,,,,,,,,,,,
2005,,,,,,,,,,,,
2005,,,,,,,,,,,,
2006,,,,,,,,,,,,
2006,,,,,,,,,,,,
2007,,,,,,,,,,,,
2007,,,,,,,,,,,,
2008,,,,,,,,,,,,
2008,,,,,,,,,,,,
2009,,,,,,,,,,,,
2009,,,,,,,,,,,,
2010,,,,,,,,,,,,
2010,,,,,,,,,,,,
2011,,,,,,,,,,,,
2011,,,,,,,,,,,,
2012,,,,,,,,,,,,
2012,,,,,,,,,,,,
2013,,,,,,,,,,,,
2013,,,,,,,,,,,,
2014,,,,,,,,,,,,
2014,,,,,,,,,,,,
2015,,,,,,,,,,,,
2015,,,,,,,,,,,,
2016,,,,,,,,,,,,
2016,,,,,,,,,,,,
2017,,,,,,,,,,,,
2017,,,,,,,,,,,,
2018,,,,,,,,,,,,
2018,,,,,,,,,,,,
2019,,,,,,,,,,,,
2019,,,,,,,,,,,,
2020,geoId-HNI,,,,,,,,,,,
2020,,,,,,,,,,,,
2021,geoId-HNI,,,,,,,,,,,
2021,,,,,,,,,,,,
2022,geoId-HNI,,,,,,,,,,,
2022,,,,,,,,,,,,
