dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,8128.0,686.0,7191.0,251.0
geoId-VNM,2006,7884.0,685.0,6965.0,234.0
geoId-VNM,2007,8545.0,1743.0,6564.0,238.0
geoId-VNM,2008,8619.0,1652.0,6735.0,232.0
geoId-VNM,2009,8132.0,1732.0,6137.0,263.0
geoId-VNM,2010,7193.0,1691.0,5325.0,177.0
geoId-VNM,2012,7494.0,26.0,7442.0,26.0
geoId-VNM,2014,1806.0,26.0,1754.0,26.0
geoId-VNM,2015,1751.0,26.0,1699.0,26.0
geoId-VNM,2016,1278.0,26.0,1226.0,26.0
geoId-VNM,2017,1076.0,26.0,1024.0,26.0
