dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,5560.0,1883.0,3436.0,241.0
geoId-VNM,2006,5470.0,1997.0,3221.0,252.0
geoId-VNM,2007,5678.0,2092.0,3251.0,335.0
geoId-VNM,2008,5827.0,2078.0,3408.0,341.0
geoId-VNM,2009,5718.0,1949.0,3451.0,318.0
geoId-VNM,2010,5624.0,1882.0,3619.0,123.0
geoId-VNM,2012,10335.0,1295.0,5585.0,3455.0
geoId-VNM,2014,9254.0,1295.0,4504.0,3455.0
geoId-VNM,2015,9633.0,1295.0,4883.0,3455.0
geoId-VNM,2016,10196.0,1295.0,5446.0,3455.0
geoId-VNM,2017,10284.0,1295.0,5534.0,3455.0
