dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,18092.0,513.0,17392.0,187.0
geoId-VNM,2006,19020.0,503.0,18320.0,197.0
geoId-VNM,2007,20817.0,534.0,20087.0,196.0
geoId-VNM,2008,22973.0,657.0,22122.0,194.0
geoId-VNM,2009,25046.0,639.0,24191.0,216.0
geoId-VNM,2010,26796.0,840.0,25522.0,434.0
geoId-VNM,2012,30072.0,647.0,28559.0,866.0
geoId-VNM,2014,29130.0,647.0,27617.0,866.0
geoId-VNM,2015,29137.0,647.0,27624.0,866.0
geoId-VNM,2016,28778.0,647.0,27265.0,866.0
geoId-VNM,2017,29306.0,647.0,27793.0,866.0
