dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,104.8,105.2,105.2,99.8
geoId-VNM,2006,107.5,101.7,108.8,99.8
geoId-VNM,2007,108.9,126.5,109.0,87.3
geoId-VNM,2008,107.8,113.9,106.8,112.6
geoId-VNM,2009,109.9,107.0,110.7,102.7
geoId-VNM,2010,115.2,139.5,113.4,99.4
geoId-VNM,2012,121.9,93.5,126.3,116.5
geoId-VNM,2014,101.7,100.0,101.9,100.0
geoId-VNM,2015,100.7,100.0,100.8,100.0
geoId-VNM,2016,103.8,100.0,104.4,100.0
geoId-VNM,2017,100.9,100.0,101.0,100.0
