dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,51466.0,8405.0,41193.0,1868.0
geoId-VNM,2006,52792.0,8878.0,41986.0,1928.0
geoId-VNM,2007,54798.0,9854.0,42993.0,1951.0
geoId-VNM,2008,57333.0,10706.0,44671.0,1956.0
geoId-VNM,2009,60807.0,10727.0,48065.0,2015.0
geoId-VNM,2010,61398.0,10203.0,49033.0,2162.0
geoId-VNM,2012,73717.0,9489.0,57523.0,6705.0
geoId-VNM,2014,71815.0,9303.0,55823.0,6689.0
geoId-VNM,2015,73797.0,9303.0,57805.0,6689.0
geoId-VNM,2016,77539.0,9303.0,61547.0,6689.0
geoId-VNM,2017,74371.0,9303.0,58379.0,6689.0
