dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,51573.0,4486.0,43131.0,3956.0
geoId-VNM,2006,55421.0,4562.0,46909.0,3950.0
geoId-VNM,2007,60329.0,5769.0,51112.0,3448.0
geoId-VNM,2008,65052.0,6570.0,54598.0,3884.0
geoId-VNM,2009,71465.0,7030.0,60447.0,3988.0
geoId-VNM,2010,82298.0,9808.0,68527.0,3963.0
geoId-VNM,2012,100353.0,9166.0,86572.0,4615.0
geoId-VNM,2014,102011.0,9166.0,88230.0,4615.0
geoId-VNM,2015,102721.0,9166.0,88940.0,4615.0
geoId-VNM,2016,106654.0,9166.0,92873.0,4615.0
geoId-VNM,2017,107596.0,9166.0,93815.0,4615.0
