dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,9530.0,552.0,8850.0,128.0
geoId-VNM,2006,10795.0,579.0,10085.0,131.0
geoId-VNM,2007,12386.0,1142.0,11116.0,128.0
geoId-VNM,2008,13924.0,1095.0,12704.0,125.0
geoId-VNM,2009,15865.0,1165.0,14573.0,127.0
geoId-VNM,2010,17870.0,1143.0,16602.0,125.0
geoId-VNM,2012,30349.0,743.0,29275.0,331.0
geoId-VNM,2014,21880.0,743.0,20806.0,331.0
geoId-VNM,2015,21902.0,743.0,20828.0,331.0
geoId-VNM,2016,21523.0,743.0,20449.0,331.0
geoId-VNM,2017,21524.0,743.0,20450.0,331.0
