dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,2039,300.0,1739.0,
geoId-VNM,2006,2150,300.0,1850.0,
geoId-VNM,2007,2086,290.0,1796.0,
geoId-VNM,2008,1959,300.0,1659.0,
geoId-VNM,2009,1629,350.0,1279.0,
geoId-VNM,2010,1695,420.0,1275.0,
geoId-VNM,2011,1551,,1551.0,
geoId-VNM,2012,2094,640.0,1454.0,
geoId-VNM,2013,1589,120.0,1469.0,
geoId-VNM,2014,1480,120.0,1360.0,
geoId-VNM,2015,1455,120.0,1335.0,
geoId-VNM,2016,1620,120.0,1500.0,
geoId-VNM,2017,1375,,1375.0,
