dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,102,100.0,103.0,100.0
geoId-VNM,2006,104,100.0,106.0,56.0
geoId-VNM,2007,109,110.0,109.0,99.0
geoId-VNM,2008,106,111.0,106.0,119.0
geoId-VNM,2009,108,112.0,108.0,111.0
geoId-VNM,2010,108,85.0,110.0,117.0
geoId-VNM,2011,111,166.0,105.0,152.0
geoId-VNM,2012,104,101.0,104.0,121.0
geoId-VNM,2013,102,95.0,104.0,82.0
geoId-VNM,2014,107,120.0,105.0,100.0
geoId-VNM,2015,105,100.0,106.0,107.0
geoId-VNM,2016,100,76.0,103.0,81.0
geoId-VNM,2017,103,155.0,98.0,100.0
