dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,197259,12680.0,170276.0,14303.0
geoId-VNM,2006,198427,12680.0,176792.0,8955.0
geoId-VNM,2007,210843,13820.0,188130.0,8893.0
geoId-VNM,2008,219784,15340.0,195494.0,8950.0
geoId-VNM,2009,232925,17102.0,206323.0,9500.0
geoId-VNM,2010,246283,14700.0,221633.0,9950.0
geoId-VNM,2011,266699,23556.0,229928.0,13215.0
geoId-VNM,2012,275105,24210.0,237190.0,13705.0
geoId-VNM,2013,280719,22490.0,245014.0,13215.0
geoId-VNM,2014,295778,26756.0,255807.0,13215.0
geoId-VNM,2015,306076,26756.0,266395.0,12925.0
geoId-VNM,2016,305687,20371.0,273066.0,12250.0
geoId-VNM,2017,308456,31451.0,264755.0,12250.0
