dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,103,100.0,102.0,128.0
geoId-VNM,2006,100,100.0,100.0,100.0
geoId-VNM,2007,99,150.0,99.0,94.0
geoId-VNM,2008,94,100.0,94.0,95.0
geoId-VNM,2009,93,133.0,93.0,94.0
geoId-VNM,2010,95,175.0,95.0,82.0
geoId-VNM,2011,101,171.0,96.0,172.0
geoId-VNM,2012,101,100.0,102.0,88.0
geoId-VNM,2013,100,83.0,99.0,113.0
geoId-VNM,2014,109,,112.0,100.0
geoId-VNM,2015,90,,89.0,102.0
geoId-VNM,2016,100,,106.0,46.0
geoId-VNM,2017,88,,87.0,100.0
