dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,127016,12100.0,111286.0,3630.0
geoId-VNM,2006,131480,12100.0,117355.0,2025.0
geoId-VNM,2007,142803,13250.0,127553.0,2000.0
geoId-VNM,2008,151813,14760.0,134683.0,2370.0
geoId-VNM,2009,163935,16462.0,144843.0,2630.0
geoId-VNM,2010,176608,13950.0,159573.0,3085.0
geoId-VNM,2011,195490,23176.0,167619.0,4695.0
geoId-VNM,2012,203375,23450.0,174230.0,5695.0
geoId-VNM,2013,208278,22270.0,181313.0,4695.0
geoId-VNM,2014,222025,26636.0,190694.0,4695.0
geoId-VNM,2015,232899,26636.0,201228.0,5035.0
geoId-VNM,2016,232342,20251.0,208001.0,4090.0
geoId-VNM,2017,239597,31451.0,204056.0,4090.0
