dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,7723,260.0,2748.0,4715.0
geoId-VNM,2006,4399,260.0,2754.0,1385.0
geoId-VNM,2007,4448,250.0,2813.0,1385.0
geoId-VNM,2008,4348,250.0,2998.0,1100.0
geoId-VNM,2009,4862,250.0,3192.0,1420.0
geoId-VNM,2010,5026,260.0,3266.0,1500.0
geoId-VNM,2011,6322,260.0,3192.0,2870.0
geoId-VNM,2012,7716,,3686.0,4030.0
geoId-VNM,2013,6280,,3410.0,2870.0
geoId-VNM,2014,6667,,3797.0,2870.0
geoId-VNM,2015,6290,,4065.0,2225.0
geoId-VNM,2016,6870,,4000.0,2870.0
geoId-VNM,2017,6450,,3580.0,2870.0
