dia phuong,Năm,Tổng số,Bộ Y tế quản lý,Sở Y tế quản lý,Các ngành khác quản lý
geoId-VNM,2005,96,100.0,105.0,92.0
geoId-VNM,2006,57,100.0,100.0,29.0
geoId-VNM,2007,101,96.0,102.0,100.0
geoId-VNM,2008,98,100.0,107.0,79.0
geoId-VNM,2009,112,100.0,107.0,129.0
geoId-VNM,2010,103,104.0,102.0,106.0
geoId-VNM,2011,126,,98.0,191.0
geoId-VNM,2012,122,,115.0,140.0
geoId-VNM,2013,81,,93.0,71.0
geoId-VNM,2014,106,,111.0,100.0
geoId-VNM,2015,94,,107.0,78.0
geoId-VNM,2016,109,,98.0,129.0
geoId-VNM,2017,94,,90.0,100.0
